incident_id,Incident_date,state,city_or_county,address,killed,injured
1850693,2020-11-12,Georgia,Fayetteville,1225 Union Rd,0,6
2046781,2021-06-26,Washington,Federal Way,4902 Laura Koppe Rd,1,3
263382,2014-12-13,Arizona,Flagstaff,810 E. Skagway Ave.,0,5
1429810,2019-06-23,Michigan,Flint,568 Habbitts Court,5,0
276459,2015-01-09,Michigan,Flint,Laguna St and Page St,4,0
1777607,2020-08-27,Michigan,Flint,10500 block of NE Halsey St,1,3
2055252,2021-07-05,Michigan,Flint,50 block of Donovan Dr,1,3
367780,2015-07-02,Michigan,Flint,500 block of Lynn St,1,3
583584,2016-06-18,Michigan,Flint,Fredrick Douglas Road,1,3
1826444,2020-10-16,Michigan,Flint,175 S Capitol Ave,2,4
424224,2015-10-02,Michigan,Flint,5400 Reisterstown Road,1,4
980258,2017-11-03,Michigan,Flint,E 163rd St and S Main St,0,4
2107168,2021-09-03,Michigan,Flint,Nelson St and W Marcellus St,0,4
2022391,2021-06-02,Michigan,Flint,1935 S Yellow Springs St,0,6
1825896,2020-10-15,Michigan,Flint,2900 block of Westwood Ave,0,7
834832,2017-05-02,South Carolina,Florence,1566 West 24th Street,1,3
1720761,2020-06-30,South Carolina,Florence,350 W Chicago Ave,0,4
1961753,2021-03-26,South Carolina,Florence,2515 W 79th St,1,7
142076,2014-06-02,Texas,Flour Bluff,2660 E. 79th St,0,7
124146,2014-04-11,California,Fontana,North 15th and H Streets,0,4
365391,2015-06-28,Mississippi,Forest,Gratiot and Loretto,0,5
333750,2015-05-03,Alabama,Fort Deposit,Friendship Trail,4,1
94514,2014-01-05,Iowa,Fort Dodge,829 Parade St,1,3
2041363,2021-06-20,Texas,Fort Hood,9605 Co Rd 235,1,10
464665,2015-12-13,Florida,Fort Lauderdale,5550 S. Flower Street,1,3
1190035,2018-08-18,Florida,Fort Lauderdale,925 Allerton Ave,0,4
1182717,2018-08-08,Florida,Fort Lauderdale,North 12th Street and West Huntingdon Street,2,4
1562043,2019-12-01,Florida,Fort Lauderdale (Lauderhill),116 Hawthorne Loop,2,3
1806806,2020-09-27,Florida,Fort Lauderdale (Lauderhill),Hancock St and Neil St,1,3
1530276,2019-10-19,Florida,Fort Lauderdale (Lauderhill),3812 Truman Ave,1,4
1727515,2020-07-05,Florida,Fort Lauderdale (Lauderhill),Union St,0,4
1821574,2020-10-12,Florida,Fort Lauderdale (Sunrise),1012 US-501,2,3
689009,2016-10-29,Florida,Fort Myers,1600 block of Century Boulevard,0,5
723292,2016-12-11,Florida,Fort Myers,3916 South Hanover Street,0,5
1776189,2020-08-25,Florida,Fort Myers,800 block of E Princess Anne Rd,0,5
513549,2016-02-28,Florida,Fort Myers,8800 block of Livernois,0,5
356065,2015-06-11,Florida,Fort Myers,468 Trumbull Ave,1,8
809499,2017-04-01,Arkansas,Fort Smith,1200 block of N Woodward Avenue,2,3
1545955,2019-11-09,Arkansas,Fort Smith,3800 block of E McNichols Rd,0,4
1319333,2019-02-04,Florida,Fort Walton Beach,2341 Pennsylvania Ave SE,0,5
1668470,2020-04-29,Maryland,Fort Washington,451 E Stop 11 Rd,0,4
520767,2016-03-11,Indiana,Fort Wayne,2600 block of Hazelwood,2,2
1805455,2020-09-03,Indiana,Fort Wayne,R St and Chase Ave,1,3
1753320,2020-08-02,Indiana,Fort Wayne,3100 block of Weymouth St,0,4
613805,2016-07-23,Indiana,Fort Wayne,Fountain Avenue,0,4
1013983,2017-12-24,Indiana,Fort Wayne,1111 Mulberry Street,0,5
743282,2017-01-01,Indiana,Fort Wayne,114 North Greyer Street,0,5
1539572,2019-11-01,Indiana,Fort Wayne,2434 S 86th Ln,0,5
1022067,2018-01-07,Indiana,Fort Wayne,US-29,1,5
1799307,2020-09-19,Indiana,Fort Wayne,278 Pennsylvania Ave,2,14
1687414,2020-05-24,Texas,Fort Worth,70 Flint Creek Pvt Dr,3,1
508640,2016-02-20,Texas,Fort Worth,5581 Cracker Barrel Blvd,6,2
655512,2016-09-14,Texas,Fort Worth,16000 block of Saybrook,1,3
